activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,version
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,Amon,tas,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/Amon/tas/gr1/v20180701/,20180701
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,Amon,tasmax,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/Amon/tasmax/gr1/v20180701/,20180701
ScenarioMIP,NOAA-GFDL,GFDL-CM4,ssp585,r1i1p1f1,Amon,tasmin,gr1,gs://cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-CM4/ssp585/r1i1p1f1/Amon/tasmin/gr1/v20180701/,20180701
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r2i1p1f1,day,tasmax,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/day/tasmax/gr1/v20180701/,20180701
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r3i1p1f1,SImon,siconc,gn,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/SImon/siconc/gn/v20180701/,20180701
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r3i1p1f1,SImon,siconc,gr,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/SImon/siconc/gr/v20180701/,20180701
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r3i1p1f1,day,pr,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/day/pr/gr1/v20180701/,20180701
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r3i1p1f1,day,tasmax,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/day/tasmax/gr1/v20180701/,20180701
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r3i1p1f1,Amon,tasmin,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tasmin/gr1/v20180701/,20180701
CMIP,NOAA-GFDL,GFDL-ESM4,historical,r3i1p1f1,Amon,tasmax,gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tasmax/gr1/v20180701/,20180701
