source_id,experiment_id,count
ACCESS-CM2,historical,53
ACCESS-CM2,ssp126,47
ACCESS-CM2,ssp245,49
ACCESS-CM2,ssp370,51
ACCESS-CM2,ssp585,51
ACCESS-ESM1-5,historical,435
ACCESS-ESM1-5,ssp126,99
ACCESS-ESM1-5,ssp245,20
ACCESS-ESM1-5,ssp370,120
ACCESS-ESM1-5,ssp585,172
AWI-CM-1-1-MR,historical,60
AWI-CM-1-1-MR,ssp126,14
AWI-CM-1-1-MR,ssp245,14
AWI-CM-1-1-MR,ssp370,70
AWI-CM-1-1-MR,ssp585,14
AWI-ESM-1-1-LR,historical,15
BCC-CSM2-MR,historical,44
BCC-CSM2-MR,ssp126,16
BCC-CSM2-MR,ssp245,16
BCC-CSM2-MR,ssp370,16
BCC-CSM2-MR,ssp585,16
BCC-ESM1,historical,41
BCC-ESM1,ssp370,42
CAMS-CSM1-0,historical,18
CAMS-CSM1-0,ssp126,13
CAMS-CSM1-0,ssp245,13
CAMS-CSM1-0,ssp370,13
CAMS-CSM1-0,ssp585,13
CAS-ESM2-0,historical,33
CAS-ESM2-0,ssp126,10
CAS-ESM2-0,ssp245,10
CAS-ESM2-0,ssp370,10
CAS-ESM2-0,ssp585,12
CESM2,historical,142
CESM2,ssp126,42
CESM2,ssp245,42
CESM2,ssp370,42
CESM2,ssp585,42
CESM2-FV2,historical,39
CESM2-WACCM,historical,36
CESM2-WACCM,ssp126,15
CESM2-WACCM,ssp245,81
CESM2-WACCM,ssp370,36
CESM2-WACCM,ssp585,81
CESM2-WACCM-FV2,historical,36
CIESM,historical,21
CIESM,ssp126,8
CIESM,ssp245,8
CIESM,ssp585,8
CMCC-CM2-HR4,historical,10
CMCC-CM2-SR5,historical,19
CMCC-CM2-SR5,ssp126,14
CMCC-CM2-SR5,ssp245,15
CMCC-CM2-SR5,ssp370,15
CMCC-CM2-SR5,ssp585,15
CMCC-ESM2,historical,15
CMCC-ESM2,ssp126,10
CMCC-ESM2,ssp245,11
CMCC-ESM2,ssp370,10
CMCC-ESM2,ssp585,13
CNRM-CM6-1,historical,496
CNRM-CM6-1,ssp126,73
CNRM-CM6-1,ssp245,99
CNRM-CM6-1,ssp370,80
CNRM-CM6-1,ssp585,71
