year,count
20180701,195
20180803,453
20180827,14
20180828,21
20180829,14
20180830,21
20180917,20
20181015,4
20181031,3
20181102,3
20181115,5
20181116,5
20181119,10
20181126,33
20181127,1
20181129,2
20181206,19
20181212,80
20181214,15
20181218,80
20181220,15
20190108,1
20190119,169
20190125,189
20190219,67
20190222,35
20190227,15
20190306,30
20190308,78
20190311,33
20190313,11
20190314,20
20190315,9
20190318,19
20190319,8
20190321,3
20190323,15
20190325,1
20190328,34
20190401,17
20190403,80
20190406,3
20190410,413
20190415,6
20190429,3580
20190502,12
20190503,3
20190507,39
20190510,41
20190514,13
20190516,12
20190529,88
20190530,13
20190603,101
20190604,5
20190605,1
20190610,13
20190613,2
20190614,90
20190618,13
20190619,26
20190624,63
20190625,1
20190626,12
20190627,137
20190628,37
20190629,8
20190630,15
20190702,74
20190703,25
20190704,32
20190705,14
20190708,70
20190709,40
20190710,1151
20190712,26
20190715,20
20190718,14
20190722,15
20190723,13
20190724,20
20190725,1
20190726,52
20190728,5
20190729,6
20190730,1
20190731,70
20190801,45
20190802,14
20190803,1
20190804,1
20190805,7
20190806,5
20190808,12
20190811,8
20190812,17
20190813,27
20190814,9
20190815,106
20190818,24
20190819,3
20190820,9
20190823,56
20190826,6
20190827,11
20190828,5
20190829,6
20190830,2
20190903,147
20190904,33
20190905,103
20190906,22
20190908,38
20190909,1
20190910,2
20190911,4
20190912,2
20190913,4
20190914,34
20190916,3
20190919,2
20190920,36
20190923,1
20190924,21
20190925,8
20190926,3
20190927,60
20190928,2
20191003,82
20191004,313
20191005,5
20191007,19
20191008,11
20191010,40
20191011,17
20191012,2
20191013,15
20191015,9
20191016,100
20191017,1
20191019,6
20191021,46
20191023,2
20191027,5
20191028,4
20191029,18
20191030,3
20191031,7
20191105,2
20191106,11
20191107,3
20191108,230
20191113,9
20191114,22
20191115,34
20191119,24
20191120,45
20191121,154
20191122,31
20191125,29
20191126,2
20191127,3
20191128,22
20191129,14
20191202,43
20191203,14
20191204,2
20191205,20
20191206,1
20191207,13
20191209,26
20191210,23
20191211,38
20191212,28
20191213,12
20191216,15
20191217,18
20191218,41
20191220,1
20191221,1
20191224,1
20191225,1
20191226,29
20191227,15
20191228,13
20191229,9
20191230,4
20191231,14
20200101,6
20200102,6
20200103,4
20200114,24
20200115,542
20200116,6
20200117,60
20200120,37
20200121,24
20200124,4
20200127,30
20200130,89
20200201,350
20200205,5
20200206,115
20200212,43
20200214,13
20200215,4
20200217,47
20200218,58
20200219,23
20200220,14
20200221,6
20200222,8
20200224,17
20200225,51
20200226,110
20200302,2
20200303,67
20200306,17
20200307,4
20200309,3
20200310,67
20200311,4
20200312,22
20200313,4
20200314,1
20200315,22
20200316,17
20200317,47
20200318,133
20200319,14
20200320,5
20200321,8
20200322,9
20200323,4
20200325,5
20200327,8
20200330,3
20200331,12
20200402,14
20200403,25
20200407,8
20200408,14
20200410,4
20200411,8
20200412,1029
20200415,4
20200417,18
20200420,7
20200425,150
20200428,55
20200429,2
20200430,4
20200504,1
20200506,1
20200507,13
20200511,5
20200514,13
20200515,85
20200519,480
20200528,168
20200529,81
20200601,40
20200602,12
20200603,22
20200604,24
20200605,47
20200608,19
20200611,2
20200616,11
20200617,15
20200619,1
20200622,31
20200623,1076
20200624,16
20200625,1
20200626,5
20200630,2
20200702,37
20200706,13
20200708,13
20200710,52
20200716,28
20200717,14
20200720,12
20200724,290
20200729,10
20200730,6
20200731,48
20200803,133
20200805,5
20200811,4
20200813,1
20200817,585
20200818,10
20200825,4
20200826,1
20200827,13
20200901,3
20200902,3
20200904,11
20200910,6
20200911,2
20200915,30
20200918,164
20200919,147
20200921,4
20200922,112
20200923,5
20200924,6
20200925,88
20200926,10
20200927,10
20201006,1
20201009,36
20201014,17
20201015,190
20201019,2
20201022,1
20201026,13
20201028,50
20201029,4
20201103,1
20201104,4
20201109,2
20201110,18
20201112,11
20201113,4
20201117,4
20201123,79
20201124,8
20201201,81
20201214,15
20201215,33
20201217,26
20201218,43
20201221,26
20201222,602
20201224,14
20201225,12
20201227,12
20201228,24
20201230,42
20210101,500
20210102,9
20210105,1
20210107,9
20210108,7
20210113,36
20210114,15
20210120,35
20210121,25
20210125,9
20210126,23
20210129,11
20210202,10
20210203,1
20210205,6
20210211,10
20210215,26
20210216,8
20210218,20
20210219,7
20210222,5
20210223,10
20210224,11
20210303,2
20210305,6
20210311,3
20210315,7
20210317,158
20210318,136
20210322,4
20210325,12
20210329,6
20210401,492
20210407,41
20210416,7
20210426,3
20210427,4
20210428,5
20210507,44
20210510,3
20210511,10
20210514,8
20210517,3
20210525,110
20210527,13
20210528,7
20210601,15
20210603,3
20210604,5
20210607,10
20210615,168
20210616,3
20210617,56
20210618,4
20210624,40
20210712,53
20210714,30
20210721,2
20210802,13
20210813,24
20210830,20
20210831,41
20210907,49
20210908,34
20210909,5
20210913,1
20210917,58
20210928,4
20211108,4
20211109,4
20211201,1
20211207,3
