U.S. State,"% change in abortion rate, 2017-2020","% change in the no. of abortion clinics, 2017-2020","% change in the no. of abortion providers, 2014-2017","% of all U.S. abortions, by state of occurrence, 2020","% of counties without a known abortion provider, 2014","% of counties without a known clinic, 2020","% of residents obtaining abortions who traveled out of state for care, 2020","% of women aged 15-44 living in a county without a clinic, 2020","% of women aged 15-44 living in a county without an abortion provider, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-17), by state of residence, 2017","Abortion rate (the no. of abortions per 1,000 women aged 15-19), by state of residence, 2017","Abortion rate (the no. of abortions per 1,000 women aged 18-19), by state of residence, 2017","Change in the no. of abortion clinics, 2017-2020","Change in the no. of abortion providers, 2014-2017","No. of abortion clinics, 2020","No. of abortion providers, 2017","No. of abortions among women aged 15-17, by state of residence, 2017","No. of abortions among women aged 15-19, by state of residence, 2017","No. of abortions among women aged 18-19, by state of residence, 2017","No. of abortions among women younger than 15, by state of residence, 2017","No. of abortions per 1,000 women aged 15–44, by state of occurrence, 2020","No. of abortions per 1,000 women aged 15–44, by state of residence, 2020","No. of abortions, by state of occurrence, 2020","No. of abortions, by state of residence, 2020","No. of federally funded abortions, 2010","No. of state funded abortions, 2010","Reported public expenditures for abortions (in 000s of dollars), federal, 2015","Reported public expenditures for abortions (in 000s of dollars), state, 2015","Total no. of publicly funded abortions , 2010","Total reported public expenditures for abortions (in 000s of dollars), 2015"
Alabama,-6,0,-22,0.6,91,93,47,59,58,2.4,5.1,9.2,0,-2,5,7,230,810,580,30,6,9.5,"5,700","9,060",9,0,22,0,9,22
Alaska,0,0,-25,0.1,79,87,7,33,17,3.6,6.6,12.2,0,-2,4,6,50,150,100,n/a,8.6,9.2,"1,240","1,320",0,835,0,216,835,216
Arizona,1,0,-8,1.4,80,80,6,18,19,2.1,5.4,10.4,0,-1,8,11,290,"1,240",960,30,9.3,9.7,"13,320","13,820",1,13,28,11,14,40
Arkansas,2,-33,0,0.3,97,99,37,86,77,1.7,4,7.3,-1,0,2,4,100,380,280,20,5.6,7.8,"3,250","4,510",0,0,0,0,0,0
California,17,7,-18,16.6,24,38,0,3,1,4.70,9.60,16.80,12,-93,173,419,3520.00,11940.00,8420.00,300.00,19.2,19,"154,060","152,400",0,"88,466",0,"32,613","88,466","32,613"
Colorado,3,28,-11,1.4,77,77,1,26,17,3.2,6.2,10.9,5,-4,23,32,330,"1,080",750,20,11.2,9.9,"13,420","11,830",0,0,0,0,0,0
Connecticut,-6,-23,-8,1.2,13,0,6,0,5,5,9.3,15,-6,-5,20,54,350,"1,110",770,30,16.7,17.1,"11,170","11,460",0,unavailable,0,184,unavailable,184
Delaware,-5,-25,0,0.2,33,33,44,19,18,3.9,8.4,14.5,-1,0,3,6,70,250,180,n/a,10,15.8,"1,830","2,870",1,unavailable,"<1,000",0,1,"<1,000"
District of Columbia,62,0,-11,1,0,0,45,0,0,14.6,19.8,23.4,0,-1,5,8,110,380,270,n/a,48.9,26.1,"9,410","5,010",0,0,0,0,0,nr
Florida,6,-11,-1,8.3,67,75,1,25,19,unavailable,9.1,unavailable,-7,-1,58,85,unavailable,"5,340",unavailable,100,19.7,18.8,"77,400","73,830",0,unavailable,0,0,unavailable,0
Georgia,12,-7,-7,4.5,94,95,5,55,54,3.4,7.4,13.7,-1,-2,14,26,730,"2,640","1,900",70,18.9,16.6,"41,620","36,470",8,0,298,nr,8,298
Hawaii,1,0,-3,0.3,20,40,2,5,0,4.6,8.3,14.2,0,-1,4,28,110,310,200,10,12.1,12.1,"3,130","3,120",0,"1,279",0,253,"1,279",253
Idaho,23,0,0,0.2,95,95,26,67,68,1.4,3.4,6.6,0,0,3,5,50,200,150,277,4.8,6,"1,690","2,130",0,0,"<1,000",0,0,"<1,000"
